gen	evals	std     	min        	avg     	max     
0  	20   	0.120348	5.36607e-06	0.166079	0.299345
1  	20   	1.38967 	6.38104e-06	0.874424	6.80035 
2  	20   	2.06043 	0.217126   	1.54145 	8.79854 
3  	20   	2.24251 	0.217126   	1.68576 	8.79854 
4  	20   	2.39055 	0.217126   	1.79592 	8.79854 
5  	20   	2.40006 	0.217126   	1.78913 	8.79854 
6  	20   	2.59563 	0.179114   	1.99621 	8.79854 
7  	20   	2.70671 	0.179114   	2.05166 	9.14717 
8  	20   	2.71006 	0.179114   	1.99033 	9.14717 
9  	20   	2.71985 	0.179114   	1.99526 	9.14717 
10 	20   	2.9465  	0.179114   	2.32559 	9.14717 
11 	20   	2.90161 	0.217126   	2.21459 	9.14717 
12 	20   	2.99619 	0.217126   	2.37451 	9.14717 
13 	20   	2.99619 	0.217126   	2.37451 	9.14717 
14 	20   	3.14485 	0.217126   	2.46283 	9.14717 
15 	20   	3.05603 	0.217126   	2.34512 	9.14717 
16 	20   	3.16498 	0.217126   	2.48188 	9.35695 
17 	20   	3.16498 	0.217126   	2.48188 	9.35695 
18 	20   	3.16498 	0.217126   	2.48188 	9.35695 
19 	20   	3.22849 	0.217126   	2.51493 	9.35695 
20 	20   	3.32475 	0.217126   	2.62993 	9.35695 
