gen	evals	std     	min      	avg     	max    
0  	20   	0.380572	0.0185882	0.473113	1      
1  	20   	0.857041	0.164799 	0.668087	5.20168
2  	20   	1.10412 	0.220836 	1.01049 	5.82877
3  	20   	1.30043 	0.220836 	1.48431 	5.82877
4  	20   	1.62806 	0.220836 	1.93827 	5.82877
5  	20   	1.99385 	0.220836 	2.17091 	7.46682
6  	20   	2.02775 	0.220836 	2.1495  	7.46682
7  	20   	2.03736 	0.220836 	2.15509 	7.46682
8  	20   	2.08267 	0.220836 	2.14906 	7.46682
9  	20   	2.08267 	0.220836 	2.14906 	7.46682
10 	20   	2.10374 	0.220836 	2.26118 	7.46682
11 	20   	2.50443 	0.220836 	2.5959  	11.136 
12 	20   	2.50443 	0.220836 	2.5959  	11.136 
13 	20   	2.56667 	0.220836 	2.79369 	11.136 
14 	20   	2.55308 	0.220836 	2.77903 	11.136 
15 	20   	2.60189 	0.220836 	2.82443 	11.136 
16 	20   	2.60189 	0.220836 	2.82443 	11.136 
17 	20   	2.66003 	0.220836 	2.95108 	11.136 
18 	20   	2.66681 	0.220836 	2.935   	11.136 
19 	20   	2.70832 	0.220836 	2.96705 	11.136 
20 	20   	2.76969 	0.220836 	3.03743 	11.136 
21 	20   	2.76969 	0.220836 	3.03743 	11.136 
22 	20   	2.80858 	0.220836 	3.05142 	11.136 
23 	20   	2.86886 	0.220836 	3.07897 	11.136 
24 	20   	2.87624 	0.220836 	3.07668 	11.136 
25 	20   	2.96911 	0.220836 	3.10743 	11.136 
26 	20   	2.96911 	0.220836 	3.10743 	11.136 
27 	20   	3.11824 	0.220836 	3.17924 	11.136 
28 	20   	3.11824 	0.220836 	3.17924 	11.136 
29 	20   	3.20123 	0.220836 	3.22005 	11.1389
