gen	evals	std     	min       	avg     	max     
0  	20   	0.355105	0.0617844 	0.344898	0.845669
1  	20   	1.54091 	0.00597255	1.13265 	7.1752  
2  	20   	1.88957 	0.127241  	1.59873 	7.30048 
3  	20   	2.49084 	0.127241  	2.00991 	9.75593 
4  	20   	2.46869 	0.127241  	1.99674 	9.75593 
5  	20   	2.58193 	0.127241  	2.11295 	9.75593 
6  	20   	2.85782 	0.127241  	2.32882 	9.75593 
7  	20   	3.11856 	0.127241  	2.47609 	11.3492 
8  	20   	3.25668 	0.127241  	2.57782 	11.3492 
9  	20   	3.3787  	0.127241  	2.65973 	11.3492 
10 	20   	3.49921 	0.127241  	2.7678  	11.3492 
11 	20   	3.58023 	0.127241  	2.81519 	11.3492 
12 	20   	3.58023 	0.127241  	2.81519 	11.3492 
13 	20   	3.66856 	0.127241  	2.87183 	11.3492 
14 	20   	3.73109 	0.127241  	2.91632 	11.3492 
15 	20   	3.67085 	0.127241  	2.87206 	11.3492 
16 	20   	3.86719 	0.127241  	3.0034  	11.3492 
17 	20   	3.90304 	0.127241  	3.03485 	11.3492 
18 	20   	4.01882 	0.127241  	3.15468 	11.3492 
19 	20   	4.01882 	0.127241  	3.15468 	11.3492 
