gen	evals	std     	min       	avg     	max    
0  	20   	0.41794 	0.00562507	0.419052	1      
1  	20   	0.527731	0.106854  	0.544912	3.13545
2  	20   	0.862569	0.106854  	0.747837	5.59102
3  	20   	1.47629 	0.106854  	1.18565 	6.06119
4  	20   	1.76211 	0.106854  	1.58639 	6.06119
5  	20   	2.01411 	0.106854  	1.99473 	6.75651
6  	20   	2.06672 	0.106854  	2.05957 	6.75651
7  	20   	2.10413 	0.106854  	2.15201 	6.75651
8  	20   	2.34732 	0.106854  	2.36309 	10.6525
9  	20   	2.34732 	0.106854  	2.36309 	10.6525
10 	20   	2.34738 	0.106854  	2.40203 	10.6525
11 	20   	2.34836 	0.106854  	2.39917 	10.6525
12 	20   	2.36046 	0.106854  	2.52603 	10.6525
13 	20   	2.36481 	0.106854  	2.5128  	10.6525
14 	20   	2.39219 	0.106854  	2.53773 	10.6525
15 	20   	2.4328  	0.106854  	2.53828 	10.6525
16 	20   	2.47901 	0.106854  	2.55432 	10.6525
17 	20   	2.54474 	0.106854  	2.59808 	10.6525
18 	20   	2.55338 	0.106854  	2.60685 	10.6525
19 	20   	2.61451 	0.106854  	2.61723 	10.6525
20 	20   	2.67297 	0.106854  	2.65549 	10.6525
21 	20   	2.67297 	0.106854  	2.65549 	10.6525
22 	20   	2.67297 	0.106854  	2.65549 	10.6525
23 	20   	2.67297 	0.106854  	2.65549 	10.6525
24 	20   	2.68761 	0.106854  	2.667   	10.6525
25 	20   	2.68761 	0.106854  	2.667   	10.6525
26 	20   	2.81728 	0.106854  	2.72252 	10.6525
27 	20   	2.81728 	0.106854  	2.72252 	10.6525
28 	20   	2.78228 	0.106854  	2.69152 	10.6525
29 	20   	2.78228 	0.106854  	2.69152 	10.6525
