gen	evals	std      	min      	avg      	max     
0  	20   	0.0477625	0.0460977	0.0874126	0.154348
1  	20   	1.64246  	0.0460977	0.99136  	7.34835 
2  	20   	1.84359  	0.154348 	1.31421  	7.34835 
3  	20   	1.86842  	0.154348 	1.37975  	7.34835 
4  	20   	1.94677  	0.154348 	1.47413  	7.34835 
5  	20   	2.30648  	0.154348 	1.68007  	7.58857 
6  	20   	2.30648  	0.154348 	1.68007  	7.58857 
7  	20   	2.30648  	0.154348 	1.68007  	7.58857 
8  	20   	2.36164  	0.154348 	1.72226  	7.58857 
9  	20   	2.36177  	0.154348 	1.72062  	7.58857 
10 	20   	2.41973  	0.154348 	1.7472   	7.6914  
11 	20   	2.40346  	0.154348 	1.74239  	7.6914  
12 	20   	2.40346  	0.154348 	1.74239  	7.6914  
13 	20   	2.40346  	0.154348 	1.74239  	7.6914  
14 	20   	2.40346  	0.154348 	1.74239  	7.6914  
15 	20   	2.40346  	0.154348 	1.74239  	7.6914  
16 	20   	2.40346  	0.154348 	1.74239  	7.6914  
17 	20   	2.40346  	0.154348 	1.74239  	7.6914  
18 	20   	2.40346  	0.154348 	1.74239  	7.6914  
19 	20   	2.43376  	0.154348 	1.75335  	7.6914  
