gen	evals	std     	min       	avg    	max    
0  	20   	0.477752	0.00725534	0.93267	2.26121
1  	20   	0.614735	0.163273  	1.04048	4.33838
2  	20   	0.666509	0.21311   	1.0186 	4.33838
3  	20   	1.35567 	0.21311   	1.30423	9.191  
4  	20   	1.50399 	0.21311   	1.40115	9.191  
5  	20   	1.71903 	0.21311   	1.49908	9.191  
6  	20   	1.72799 	0.21311   	1.49908	9.191  
7  	20   	1.68473 	0.21311   	1.48148	9.191  
8  	20   	1.68883 	0.21311   	1.48212	9.191  
9  	20   	1.95984 	0.21311   	1.62182	9.29289
10 	20   	1.99644 	0.21311   	1.6635 	9.29289
11 	20   	2.03887 	0.21311   	1.72012	9.29289
12 	20   	2.07895 	0.21311   	1.74453	9.29289
13 	20   	2.09742 	0.21311   	1.75215	9.42982
14 	20   	2.17894 	0.284798  	1.96241	9.42982
15 	20   	2.24062 	0.349788  	2.05886	9.42982
16 	20   	2.4313  	0.349788  	2.23831	9.42982
17 	20   	2.4313  	0.349788  	2.23831	9.42982
18 	20   	2.4313  	0.349788  	2.23831	9.42982
19 	20   	2.4313  	0.349788  	2.23831	9.42982
