gen	evals	std     	min        	avg     	max    
0  	20   	0.708904	0.0402734  	0.749993	3.44352
1  	20   	1.43236 	0.000325509	1.04539 	8.59213
2  	20   	1.78464 	0.000325509	1.2389  	8.68244
3  	20   	2.01728 	0.000325509	1.35762 	8.68244
4  	20   	1.94898 	0.000325509	1.30201 	8.68244
5  	20   	2.00755 	0.000325509	1.34361 	8.68244
6  	20   	2.23037 	0.000325509	1.42142 	9.96073
7  	20   	2.26257 	0.000325509	1.49632 	9.96073
8  	20   	2.43355 	0.000325509	1.62084 	9.96073
9  	20   	2.64785 	0.000325509	1.79132 	9.96073
10 	20   	2.83103 	0.000325509	2.00538 	9.96073
11 	20   	2.83689 	0.000325509	2.01434 	9.96073
12 	20   	3.04482 	0.000325509	2.15119 	11.1223
13 	20   	3.11276 	0.000325509	2.18689 	11.1223
14 	20   	3.11276 	0.000325509	2.18689 	11.1223
15 	20   	3.36151 	0.000325509	2.36089 	12.1892
16 	20   	3.36151 	0.000325509	2.36089 	12.1892
17 	20   	3.36151 	0.000325509	2.36089 	12.1892
18 	20   	3.58711 	0.000325509	2.56673 	12.4468
19 	20   	3.58711 	0.000325509	2.56673 	12.4468
20 	20   	3.58711 	0.000325509	2.56673 	12.4468
21 	20   	3.56808 	0.000325509	2.45428 	12.4468
22 	20   	3.61015 	0.000325509	2.57908 	12.4468
23 	20   	3.69259 	0.000325509	2.61931 	12.454 
24 	20   	3.69259 	0.000325509	2.61931 	12.454 
25 	20   	3.93493 	0.000325509	2.81073 	12.454 
26 	20   	3.93493 	0.000325509	2.81073 	12.454 
27 	20   	3.93493 	0.000325509	2.81073 	12.454 
28 	20   	3.99786 	0.000325509	2.83902 	12.454 
29 	20   	4.39448 	0.000325509	3.13462 	14.1746
